Sample ID	Collection date	Geological location name	Latitude/Longtitude	Days since blooming	Air temperature (˚C)	Humidity (%)	Rainfall (mm)	Sunlight (MJ/m^2)
omgseq_002313	2015-04-04 15:45:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	10	21.7	70.0	0.0	0.0
omgseq_002321	2015-04-04 15:45:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	10	21.7	70.0	0.0	0.0
omgseq_002330	2015-04-04 15:45:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	10	21.7	70.0	0.0	0.0
omgseq_002348	2015-04-04 15:45:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	10	21.7	70.0	0.0	0.0
omgseq_002356	2015-04-04 15:45:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	10	21.7	70.0	0.0	0.0
omgseq_002364	2015-04-04 15:45:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	10	21.7	70.0	0.0	0.0
omgseq_002381	2015-04-04 14:50:00	Shizuoka, Mishima, Japan	35.7320 N 138.5458 E	not collected	17.1	54.0	0.0	0.0
omgseq_002399	2015-04-04 14:54:00	Shizuoka, Mishima, Japan	35.7321 N 138.5457 E	not collected	17.1	54.0	0.0	0.0
omgseq_002411	2015-03-31 10:20:00	Shizuoka, Numazu, Japan	35.1305 N 138.8789 E	6	18.0	60.0	0.0	1.0
omgseq_002429	2015-03-31 10:40:00	Shizuoka, Numazu, Japan	35.1362 N 138.8670 E	not collected	18.0	60.0	0.0	1.0
omgseq_002437	2015-04-06 13:40:00	Chiba, Kashiwa, Japan	35.8949 N 139.9414 E	not collected	22.0	not collected	0.0	0.9
omgseq_002445	2015-04-06 14:00:00	Chiba, Kashiwa, Japan	35.9028 N 139.9391 E	not collected	22.7	not collected	0.0	0.8
