Sample ID	Collection date	Geological location name	Latitude/Longtitude	Days since blooming	Air temperature (˚C)	Humidity (%)	Rainfall (mm)	Sunlight (MJ/m^2)
omgseq_003913	2015-04-01 16:00:00	Saitama, Hiki, Japan	35.9853 N 139.3741 E	not collected	19.0	51.0	0.0	0.1
omgseq_003921	2015-04-01 16:00:00	Saitama, Hiki, Japan	35.9853 N 139.3741 E	not collected	19.0	51.0	0.0	0.1
omgseq_003930	2015-04-01 16:00:00	Saitama, Higashimatsuyama, Japan	35.9869 N 139.3846 E	not collected	19.0	51.0	0.0	0.1
omgseq_003948	2015-04-01 16:00:00	Saitama, Higashimatsuyama, Japan	36.0006 N 139.3967 E	not collected	19.0	51.0	0.0	0.1
omgseq_003956	2015-04-11 13:00:00	Saitama, Hiki, Japan	35.9853 N 139.3741 E	14	16.5	56.0	0.0	0.4
omgseq_003964	2015-04-11 13:00:00	Saitama, Hiki, Japan	35.9853 N 139.3741 E	14	16.5	56.0	0.0	0.4
omgseq_003972	2015-04-12 12:20:00	Miyagi, Sendai, Japan	38.2756 N 140.8719 E	2	12.6	52.0	0.0	1.0
omgseq_003981	2015-04-12 13:55:00	Miyagi, Shiogama, Japan	38.3185 N 141.0125 E	6	11.4	not collected	0.0	1.0
omgseq_003999	2015-04-13 07:00:00	Miyagi, Shibata, Japan	38.0561 N 140.7472 E	5	8.8	not collected	0.0	not collected
omgseq_004006	2015-04-19 14:46:11	Miyagi, Shiogama, Japan	38.3369 N 141.1120 E	4	14.6	not collected	0.0	0.0
omgseq_004014	2015-04-02 14:35:00	Hiroshima, Higashihiroshima, Japan	34.3967 N 132.7150 E	not collected	16.4	not collected	0.0	0.0
omgseq_004022	2015-04-02 00:00:00	Hiroshima, Higashihiroshima, Japan	34.3967 N 132.7154 E	not collected	11.7	not collected	0.0	not collected
omgseq_004031	2015-03-31 17:00:00	Ibaraki, Tsukuba, Japan	36.0276 N 140.1079 E	2	18.8	48.0	0.0	1.0
omgseq_004049	2015-04-02 17:00:00	Ibaraki, Tsukuba, Japan	36.0276 N 140.1079 E	not collected	13.0	46.0	0.0	1.0
omgseq_004057	2015-04-04 15:00:00	Ibaraki, Tsukuba, Japan	36.0276 N 140.1079 E	6	11.8	68.0	0.0	0.0
omgseq_004065	2015-04-06 15:00:00	Ibaraki, Tsukuba, Japan	36.0276 N 140.1079 E	8	21.4	54.0	0.0	0.2
omgseq_004073	2015-04-12 14:00:00	Kanagawa, Yokohama, Japan	35.3921 N 139.5327 E	18	16.9	38.0	0.0	0.9
omgseq_004081	2015-04-12 15:00:00	Kanagawa, Yokohama, Japan	35.3998 N 139.5446 E	18	15.9	49.0	0.0	0.5
omgseq_004090	2015-04-01 06:26:00	Ibaraki, Tsukuba, Japan	36.0274 N 140.1079 E	5	9.5	97.0	0.0	0.0
omgseq_004103	2015-04-01 06:42:00	Ibaraki, Tsukuba, Japan	36.0260 N 140.1099 E	5	9.5	97.0	0.0	0.0
omgseq_004111	2015-03-30 14:43:00	Okayama, Okayama, Japan	34.6779 N 133.9180 E	3	19.7	32.0	0.0	1.0
omgseq_004120	2015-03-30 15:04:00	Okayama, Okayama, Japan	34.6762 N 133.9182 E	3	20.3	28.0	0.0	1.0
omgseq_004138	2015-04-02 17:12:57	Shimane, Izumo, Japan	35.3348 N 132.7290 E	3	22.4	not collected	0.0	1.0
omgseq_004146	2015-04-02 17:12:57	Shimane, Izumo, Japan	35.3348 N 132.7290 E	3	22.4	not collected	0.0	1.0
omgseq_004154	2015-04-02 16:27:18	Shimane, Izumo, Japan	35.4020 N 132.6855 E	3	22.6	not collected	0.0	1.0
omgseq_004162	2015-04-02 16:35:22	Shimane, Izumo, Japan	35.4020 N 132.6855 E	3	22.6	not collected	0.0	1.0
omgseq_004171	2015-04-04 15:48:43	Shimane, Izumo, Japan	35.2347 N 132.7369 E	3	15.0	not collected	0.0	0.5
omgseq_004189	2015-04-04 15:55:28	Shimane, Izumo, Japan	35.2347 N 132.7369 E	3	15.0	not collected	0.0	0.5
omgseq_004197	2015-03-30 14:00:00	Ibaraki, Tsukuba, Japan	36.0631 N 140.0649 E	1	22.4	25.0	0.0	1.0
omgseq_004201	2015-03-30 14:00:00	Ibaraki, Tsukuba, Japan	36.0631 N 140.0649 E	1	22.4	25.0	0.0	1.0
omgseq_004219	2015-03-30 14:00:00	Ibaraki, Tsukuba, Japan	36.0631 N 140.0648 E	1	22.4	25.0	0.0	1.0
omgseq_004227	2015-03-30 14:00:00	Ibaraki, Tsukuba, Japan	36.0631 N 140.0648 E	1	22.4	25.0	0.0	1.0
omgseq_004235	2015-04-11 14:45:00	Ibaraki, Mito, Japan	36.1922 N 140.3337 E	11	11.9	90.0	0.0	0.0
omgseq_004243	2015-04-11 16:10:00	Ibaraki, Kasama, Japan	36.2304 N 140.1536 E	9	13.4	not collected	0.0	0.0
omgseq_004251	2015-03-31 13:23:00	Ibaraki, Tsukuba, Japan	36.0844 N 140.1072 E	4	21.6	37.0	0.0	1.0
omgseq_004260	2015-03-31 13:53:00	Ibaraki, Tsukuba, Japan	36.0843 N 140.1069 E	4	21.6	37.0	0.0	1.0
omgseq_004278	2015-04-06 11:43:17	Ibaraki, Tsukuba, Japan	36.0844 N 140.1072 E	10	20.6	55.0	0.0	1.0
omgseq_004286	2015-04-06 11:55:25	Ibaraki, Tsukuba, Japan	36.0843 N 140.1069 E	10	20.6	55.0	0.0	1.0
omgseq_004294	2015-04-02 10:30:31	Tottori, Tottori, Japan	35.3018 N 134.1342 E	not collected	14.8	55.0	0.0	1.0
omgseq_004308	2015-04-02 10:35:46	Tottori, Tottori, Japan	35.3018 N 134.1342 E	not collected	14.8	55.0	0.0	1.0
omgseq_004316	2015-03-30 13:28:42	Saitama, Wako, Japan	35.7804 N 139.6119 E	0	20.7	32.0	0.0	1.0
omgseq_004324	2015-03-30 13:28:43	Saitama, Wako, Japan	35.7804 N 139.6119 E	0	20.7	32.0	0.0	1.0
omgseq_004332	2015-04-04 17:56:40	Saitama, Kawaguchi, Japan	35.8007 N 139.7296 E	9	12.7	not collected	0.0	0.0
omgseq_004341	2015-04-04 17:59:42	Saitama, Kawaguchi, Japan	35.8007 N 139.7296 E	9	12.7	not collected	0.0	0.0
omgseq_004359	2015-03-31 13:24:42	Saitama, Kitaadachi, Japan	36.0001 N 139.6242 E	4	21.9	not collected	0.0	1.0
omgseq_004367	2015-03-31 13:19:00	Saitama, Kitaadachi, Japan	36.0001 N 139.6242 E	4	21.9	not collected	0.0	1.0
omgseq_004375	2015-04-02 14:58:39	Yamaguchi, Yamaguchi, Japan	34.1785 N 131.4737 E	5	18.9	68.0	0.0	0.2
omgseq_004391	2015-03-30 14:53:00	Ibaraki, Tsukuba, Japan	36.0496 N 140.1214 E	1	22.4	25.0	0.0	1.0
omgseq_004405	2015-03-30 15:13:00	Ibaraki, Tsukuba, Japan	36.0517 N 140.1221 E	1	21.7	26.0	0.0	1.0
omgseq_004413	2015-04-04 13:34:31	Ibaraki, Tsukuba, Japan	36.0496 N 140.1214 E	6	11.7	61.0	0.0	0.0
omgseq_004421	2015-04-04 14:32:09	Ibaraki, Tsukuba, Japan	36.0517 N 140.1221 E	6	11.9	62.0	0.0	0.0
omgseq_004430	2015-03-30 15:02:58	Ibaraki, Tsukuba, Japan	36.0496 N 140.1214 E	-2	21.7	26.0	0.0	1.0
omgseq_004448	2015-03-30 15:22:09	Ibaraki, Tsukuba, Japan	36.0517 N 140.1221 E	-2	21.7	26.0	0.0	1.0
omgseq_004456	2015-04-04 11:15:00	Ibaraki, Tuchiura, Japan	36.1311 N 140.1372 E	6	10.5	not collected	0.0	0.0
omgseq_004464	2015-04-04 11:50:00	Ibaraki, Tsukuba, Japan	36.1509 N 140.1108 E	6	10.6	66.0	0.0	0.0
omgseq_004472	2015-04-04 12:54:00	Ibaraki, Tsukuba, Japan	36.1799 N 140.0815 E	6	11.4	56.0	0.0	0.0
omgseq_004481	2015-04-04 12:54:00	Ibaraki, Tsukuba, Japan	36.2214 N 140.0651 E	6	11.4	56.0	0.0	0.0
omgseq_004499	2015-04-04 14:45:00	Ibaraki, Sakuragawa, Japan	36.2929 N 140.1076 E	6	13.3	not collected	0.0	0.0
omgseq_004502	2015-04-04 15:20:00	Ibaraki, Sakuragawa, Japan	36.3592 N 140.1077 E	6	13.0	not collected	0.0	0.0
omgseq_004511	2015-04-02 22:15:00	Ibaraki, Tsukuba, Japan	36.1799 N 140.0815 E	4	8.9	71.0	0.0	0.0
omgseq_004529	2015-04-02 22:30:00	Ibaraki, Tsukuba, Japan	36.1799 N 140.0815 E	4	8.9	71.0	0.0	0.0
omgseq_004537	2015-04-04 09:55:00	Ibaraki, Tuchiura, Japan	36.0864 N 140.2060 E	6	9.3	not collected	0.5	0.0
omgseq_004545	2015-04-04 10:25:00	Ibaraki, Tuchiura, Japan	36.1005 N 140.1706 E	6	9.9	not collected	0.0	0.0
omgseq_004553	2015-04-02 17:30:00	Hiroshima, Higashihiroshima, Japan	34.4607 N 132.7792 E	5	16.7	not collected	0.0	0.0
omgseq_004561	2015-04-02 17:30:00	Hiroshima, Higashihiroshima, Japan	34.4607 N 132.7792 E	5	16.7	not collected	0.0	0.0
omgseq_004570	2015-04-09 16:00:00	Hiroshima, Mihara, Japan	34.4399 N 132.9190 E	11	10.6	not collected	0.5	0.0
omgseq_004588	2015-04-09 16:00:00	Hiroshima, Mihara, Japan	34.4399 N 132.9190 E	11	10.6	not collected	0.5	0.0
omgseq_004596	2015-04-09 00:00:00	Tokyo, Toshima, Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_004600	2015-04-09 00:00:00	Tokyo, Toshima, Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_004618	2015-04-09 18:00:00	Hiroshima, Mihara, Japan	34.4011 N 133.0829 E	12	10.9	not collected	0.0	0.0
omgseq_004626	2015-04-10 07:30:00	Hiroshima, Mihara, Japan	34.3988 N 133.0851 E	12	11.2	not collected	3.5	0.0
omgseq_004634	2015-04-09 00:00:00	Hiroshima, Higashihiroshima, Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_004642	2015-04-09 00:00:00	Hiroshima, Higashihiroshima, Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_004651	2015-03-31 13:29:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	3	20.1	51.0	0.0	0.0
omgseq_004669	2015-03-31 14:15:00	Yamaguchi, Yamaguchi, Japan	34.1397 N 131.4692 E	2	19.4	58.0	0.0	0.0
omgseq_004677	2015-04-02 10:00:00	Ibaraki, Tsukuba, Japan	35.6900 N 139.6900 E	2	11.9	53.0	0.0	1.0
omgseq_004685	2015-04-02 09:48:00	Ibaraki, Tsukuba, Japan	35.6900 N 139.6900 E	2	10.9	62.0	0.0	0.9
omgseq_004693	2015-04-06 00:00:00	Saitama, Saitama, Japan	35.8933 N 139.6234 E	14	10.2	not collected	0.0	not collected
omgseq_004707	2015-04-06 00:00:00	Saitama, Saitama, Japan	35.8930 N 139.6240 E	14	10.2	not collected	0.0	not collected
omgseq_004715	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_004723	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_004731	2015-04-04 14:50:00	Ibaraki, Tsukuba, Japan	36.0080 N 140.1300 E	not collected	11.9	62.0	0.0	0.0
omgseq_004740	2015-04-04 14:00:00	Ibaraki, Tsukuba, Japan	36.0070 N 140.1290 E	4	11.9	62.0	0.0	0.0
omgseq_004758	2015-04-02 08:24:00	Tochigi, Utsunomiya, Japan	36.5512 N 139.9329 E	4	8.7	68.0	0.0	0.7
omgseq_004766	2015-04-02 08:40:00	Tochigi, Utsunomiya, Japan	36.5507 N 139.9323 E	4	8.7	68.0	0.0	0.7
omgseq_004774	2015-04-02 11:23:00	Tochigi, Utsunomiya, Japan	36.5493 N 139.9114 E	4	12.8	52.0	0.0	0.8
omgseq_004782	2015-04-02 11:33:00	Tochigi, Utsunomiya, Japan	36.5496 N 139.9126 E	4	12.8	52.0	0.0	0.8
omgseq_004791	2015-04-02 11:45:00	Tochigi, Utsunomiya, Japan	36.5506 N 139.9143 E	4	12.8	52.0	0.0	0.8
omgseq_004804	2015-04-09 16:20:00	Tochigi, Utsunomiya, Japan	36.5512 N 139.9329 E	11	11.3	39.0	0.0	1.0
omgseq_004812	2015-04-09 16:30:00	Tochigi, Utsunomiya, Japan	36.5507 N 139.9323 E	11	11.3	39.0	0.0	1.0
omgseq_004821	2015-04-09 16:48:00	Tochigi, Utsunomiya, Japan	36.5493 N 139.9114 E	11	11.3	39.0	0.0	1.0
omgseq_004839	2015-04-09 16:59:00	Tochigi, Utsunomiya, Japan	36.5496 N 139.9126 E	11	11.3	39.0	0.0	1.0
omgseq_004847	2015-04-09 17:10:00	Tochigi, Utsunomiya, Japan	36.5506 N 139.9143 E	11	10.9	45.0	0.0	0.9
omgseq_004855	2015-04-23 12:44:00	Nagano, Suzaka, Japan	36.6045 N 138.3363 E	3	20.1	26.0	0.0	1.0
omgseq_004863	2015-04-23 13:21:00	Nagano, Suzaka, Japan	36.6045 N 138.3363 E	3	20.4	21.0	0.0	1.0
omgseq_004871	2015-04-11 17:13:00	Nagano, Suzaka, Japan	36.6444 N 138.3120 E	7	9.0	83.0	0.0	0.1
omgseq_004880	2015-04-11 17:26:00	Nagano, Suzaka, Japan	36.6444 N 138.3120 E	7	9.0	83.0	0.0	0.1
omgseq_004898	2015-03-31 11:30:00	Gunma, Takasaki, Japan	36.3968 N 138.9989 E	3	18.8	44.0	0.0	1.0
omgseq_004901	2015-03-31 11:30:00	Gunma, Takasaki, Japan	36.3968 N 138.9989 E	3	18.8	44.0	0.0	1.0
omgseq_004910	2015-03-31 11:30:00	Gunma, Takasaki, Japan	36.3968 N 138.9989 E	3	18.8	44.0	0.0	1.0
omgseq_004928	2015-03-31 11:30:00	Gunma, Takasaki, Japan	36.3968 N 138.9989 E	3	18.8	44.0	0.0	1.0
omgseq_004944	2015-04-20 12:00:00	Yamagata, Tsuruoka, Japan	38.7470 N 139.8242 E	10	15.8	not collected	0.0	0.0
omgseq_004952	2015-04-20 12:00:00	Yamagata, Tsuruoka, Japan	38.7470 N 139.8242 E	12	15.8	not collected	0.0	0.0
omgseq_004961	2015-04-20 12:00:00	Yamagata, Tsuruoka, Japan	38.7470 N 139.8242 E	10	15.8	not collected	0.0	0.0
omgseq_004979	2015-04-18 14:00:00	Yamanashi, Hokuto, Japan	35.7765 N 138.4238 E	not collected	16.8	not collected	0.0	1.0
omgseq_004987	2015-04-18 17:50:00	Yamanashi, Hokuto, Japan	35.7765 N 138.4238 E	not collected	14.6	not collected	0.0	0.9
omgseq_004995	2015-04-19 09:00:00	Yamanashi, Nagasaka, Japan	35.8604 N 138.3669 E	not collected	11.1	not collected	0.0	0.3
omgseq_005002	2015-04-19 11:00:00	Yamanashi, Nagasaka, Japan	35.8604 N 138.3669 E	not collected	13.8	not collected	0.0	0.0
omgseq_005011	2015-04-12 00:00:00	Yamanashi, Uenohara, Japan	35.6347 N 139.0633 E	not collected	not collected	not collected	0.0	not collected
omgseq_005029	2015-04-12 00:00:00	Yamanashi, Koshu, Japan	35.6721 N 138.7422 E	not collected	10.1	not collected	0.0	not collected
omgseq_005037	2015-04-12 00:00:00	Yamanashi, Fuefuki, Japan	35.6495 N 138.6396 E	not collected	10.1	not collected	0.0	not collected
omgseq_005045	2015-04-12 17:00:00	Yamanashi, Hokuto, Japan	35.8225 N 138.3537 E	not collected	16.0	not collected	0.0	0.2
omgseq_005053	2015-04-18 13:00:00	Yamanashi, Hokuto, Japan	35.8225 N 138.3537 E	not collected	17.1	not collected	0.0	1.0
omgseq_005061	2015-04-18 13:00:00	Yamanashi, Hokuto, Japan	35.8225 N 138.3537 E	not collected	17.1	not collected	0.0	1.0
omgseq_005070	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005088	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005096	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005100	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005118	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005126	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005134	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005142	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005151	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005169	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_005177	2015-04-19 17:30:00	Tochigi, Utsunomiya, Japan	36.5507 N 139.9143 E	19	17.0	57.0	0.0	0.0
omgseq_005185	2015-04-19 17:30:00	Tochigi, Utsunomiya, Japan	36.5507 N 139.9143 E	19	17.0	57.0	0.0	0.0
omgseq_005193	2015-04-03 11:00:30	Tochigi, Sakura, Japan	36.7095 N 140.0236 E	3	14.2	not collected	0.0	0.0
omgseq_005207	2015-04-03 11:12:30	Tochigi, Sakura, Japan	36.7122 N 140.0253 E	not collected	14.2	not collected	0.0	0.0
omgseq_005215	2015-04-04 11:38:30	Tochigi, Ohtahara, Japan	36.8577 N 140.0076 E	6	13.6	not collected	0.0	0.0
omgseq_005223	2015-04-04 11:42:30	Tochigi, Ohtahara, Japan	36.8582 N 140.0074 E	6	13.6	not collected	0.0	0.0
omgseq_005231	2015-04-04 18:30:00	Ishikawa, Kanazawa, Japan	36.5620 N 136.6563 E	not collected	13.1	74.0	0.0	0.2
omgseq_005240	2015-04-09 14:00:00	Ishikawa, Kanazawa, Japan	36.5628 N 136.6464 E	9	12.5	51.0	0.0	1.0
omgseq_005258	2015-05-02 14:30:00	Hokkaido, Bibai, Japan	43.3390 N 141.9000 E	9	19.4	not collected	0.0	1.0
omgseq_005266	2015-05-02 16:10:00	Hokkaido, Bibai, Japan	43.3410 N 141.8920 E	9	18.9	not collected	0.0	1.0
omgseq_005274	2015-05-04 12:58:00	Hokkaido, Obihiro, Japan	42.9100 N 143.1790 E	7	14.4	74.0	0.0	0.2
omgseq_005282	2015-05-04 15:48:00	Hokkaido, Obihiro, Japan	42.9030 N 143.1670 E	7	16.6	72.0	0.0	0.7
omgseq_005291	2015-04-10 13:37:16	Niigata, Niigata, Japan	37.8845 N 139.0375 E	not collected	15.8	33.0	0.0	0.1
omgseq_005304	2015-04-10 15:01:51	Niigata, Niigata, Japan	37.8163 N 138.8785 E	7	11.3	69.0	0.0	0.0
omgseq_005312	2015-04-10 13:50:00	Niigata, Niigata, Japan	37.8819 N 139.0385 E	not collected	15.8	33.0	0.0	0.1
omgseq_005321	2015-04-10 15:07:50	Niigata, Niigata, Japan	37.8206 N 138.8795 E	2	11.3	69.0	0.0	0.0
omgseq_005339	2015-04-08 15:48:09	Fukushima, Futaba, Japan	37.4603 N 140.9703 E	4	4.9	not collected	0.0	0.0
omgseq_005347	2015-04-08 16:29:36	Fukushima, Futaba, Japan	37.4956 N 140.9986 E	not collected	4.7	not collected	0.0	0.2
omgseq_005355	2015-04-09 10:05:11	Fukushima, Futaba, Japan	37.4853 N 140.9383 E	not collected	7.3	not collected	0.0	1.0
omgseq_005363	2015-04-09 10:54:48	Fukushima, Futaba, Japan	37.5436 N 140.8567 E	not collected	7.3	not collected	0.0	1.0
omgseq_005371	2015-04-21 18:15:00	Aomori, Hirosaki, Japan	40.6044 N 140.4684 E	6	9.0	not collected	0.0	0.7
omgseq_005380	2015-04-21 18:20:00	Aomori, Hirosaki, Japan	40.6044 N 140.4684 E	6	9.0	not collected	0.0	0.7
omgseq_005398	2015-04-21 18:24:00	Aomori, Hirosaki, Japan	40.6044 N 140.4684 E	6	9.0	not collected	0.0	0.7
omgseq_005401	2015-04-21 18:28:00	Aomori, Hirosaki, Japan	40.6044 N 140.4684 E	6	9.0	not collected	0.0	0.7
omgseq_005410	2015-04-04 12:49:16	Fukui, Oi, Japan	35.4379 N 135.6334 E	not collected	13.4	not collected	0.0	0.0
omgseq_005428	2015-04-04 13:11:11	Fukui, Oi, Japan	35.4379 N 135.6334 E	not collected	14.7	not collected	0.0	0.0
omgseq_005436	2015-04-04 14:29:08	Fukui, Obama, Japan	35.4896 N 135.7318 E	not collected	14.2	not collected	0.0	0.1
omgseq_005444	2015-04-04 14:29:08	Fukui, Obama, Japan	35.4919 N 135.7336 E	not collected	14.2	not collected	0.0	0.1
omgseq_005452	2015-04-08 13:30:00	Ishikawa, Kanazawa, Japan	36.5508 N 136.6600 E	6	6.2	69.0	0.0	0.0
omgseq_005461	2015-04-08 13:50:00	Ishikawa, Kanazawa, Japan	36.5508 N 136.6601 E	6	6.2	69.0	0.0	0.0
omgseq_005479	2015-04-08 14:30:00	Ishikawa, Kanazawa, Japan	36.3258 N 136.3934 E	8	6.7	65.0	0.0	0.0
omgseq_005487	2015-04-08 14:45:00	Ishikawa, Kanazawa, Japan	36.3300 N 136.3939 E	8	6.7	65.0	0.0	0.0
omgseq_005495	2015-04-12 09:50:00	Miyagi, Shibata, Japan	38.3269 N 140.4607 E	9	10.6	not collected	0.0	not collected
omgseq_005509	2015-04-12 11:52:56	Fukushima, Minamisoma, Japan	37.3205 N 141.0093 E	10	10.9	not collected	0.0	1.0
omgseq_005517	2015-05-05 00:00:00	Nagano, Komoro, Japan	36.3802 N 138.4785 E	14	12.1	100.0	1.5	0.0
omgseq_005568	2015-05-03 00:00:00	Hokkaido, Iwamizawa, Japan	43.1962 N 141.7759 E	not collected	9.0	63.0	0.0	0.0
omgseq_005576	2015-05-03 00:00:00	Hokkaido, Bibai, Japan	43.3329 N 141.8538 E	not collected	5.6	not collected	0.0	not collected
omgseq_005584	2015-05-03 00:00:00	Hokkaido, Bibai, Japan	43.3329 N 141.8538 E	not collected	5.6	not collected	0.0	not collected
omgseq_005592	2015-05-03 00:00:00	Hokkaido, Abashiri, Japan	43.9912 N 144.2413 E	2	11.2	56.0	0.0	0.0
omgseq_005606	2015-05-03 00:00:00	Hokkaido, Abashiri, Japan	43.9912 N 144.2413 E	2	11.2	56.0	0.0	0.0
omgseq_005614	2015-05-04 00:00:00	Hokkaido, Abashiri, Japan	43.9677 N 144.2329 E	3	9.6	90.0	0.0	0.0
omgseq_005622	2015-05-04 00:00:00	Hokkaido, Abashiri, Japan	43.9677 N 144.2329 E	3	9.6	90.0	0.0	0.0
omgseq_005631	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7470 N 139.8242 E	6	13.3	not collected	0.0	0.1
omgseq_005649	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005657	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005665	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005673	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005681	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005690	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005703	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005711	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005720	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005738	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005746	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005754	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005762	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005771	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005789	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005797	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005801	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005819	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005827	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005835	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005843	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005851	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005860	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005878	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005886	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005894	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005908	2015-04-20 12:00:00	Yamagata, Tsuruoka, Japan	38.7470 N 139.8242 E	12	15.8	not collected	0.0	0.0
omgseq_005916	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005924	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005932	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005941	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005959	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005967	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005975	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005983	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
omgseq_005991	2015-04-16 12:00:00	Yamagata, Tsuruoka, Japan	38.7281 N 139.8244 E	8	13.3	not collected	0.0	0.1
